,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
449,2012/2013,1994-03-15 06:00:00,PRT,2,5,0,27,66.0,False,False,1,0,0.037037037037037,0.0,0.0,15:00:00,22:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
450,2012/2013,1994-09-24 05:00:00,PRT,2,7,0,26,81.0,False,False,1,0,0.1481481481481481,0.0,0.25,17:00:00,22:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
451,2012/2013,1994-02-06 06:00:00,PRT,1,7,0,27,59.0,False,True,1,0,0.0,0.1538461538461538,0.75,15:00:00,17:00:00,ADNF,0.0,NRC,0.0,F,0.0,0,1,True
452,2012/2013,1994-09-26 05:00:00,PRT,2,5,0,26,62.0,False,True,2,0,0.1111111111111111,0.3846153846153846,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,R,6.0,0,1,True
453,2012/2013,1994-09-01 05:00:00,PRT,1,7,0,26,74.0,False,False,1,0,0.0,0.0769230769230769,0.75,17:00:00,20:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
454,2012/2013,1993-02-25 06:00:00,PRT,3,6,0,28,68.0,False,False,1,0,0.0,0.0,0.0,17:00:00,20:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
455,2012/2013,1994-10-16 05:00:00,PRT,1,4,0,26,59.0,False,True,1,0,0.0,0.3846153846153846,0.75,17:00:00,15:00:00,ADNA,0.0,NRC,0.0,AP,12.0,1,1,False
456,2012/2013,1994-04-04 05:00:00,PRT,1,6,0,27,59.0,False,True,1,0,0.074074074074074,0.1538461538461538,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,AP,10.0,1,1,False
457,2012/2013,1994-09-28 05:00:00,PRT,3,5,0,26,59.0,False,True,1,0,0.074074074074074,0.3076923076923077,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,R,7.0,0,1,True
458,2012/2013,1994-05-05 05:00:00,PRT,2,5,0,27,59.0,False,True,1,0,0.074074074074074,0.1538461538461538,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,R,6.0,0,1,True
459,2012/2013,1994-10-04 05:00:00,PRT,3,8,0,26,73.0,False,True,1,0,0.074074074074074,0.2307692307692307,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
460,2012/2013,1993-08-07 05:00:00,PRT,3,9,0,27,66.0,False,True,2,0,0.1481481481481481,0.2307692307692307,0.75,17:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,1,True
461,2012/2013,1994-08-09 05:00:00,PRT,2,6,0,26,72.0,False,False,2,0,0.1111111111111111,0.3076923076923077,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,R,6.0,0,1,True
462,2012/2013,1994-07-17 05:00:00,PRT,1,6,0,26,59.0,True,False,1,0,0.4074074074074074,0.7692307692307693,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,AP,12.0,1,1,False
463,2012/2013,1994-11-21 06:00:00,PRT,1,5,0,26,59.0,False,True,1,0,0.1851851851851851,0.6153846153846154,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,AP,11.0,1,1,False
464,2012/2013,1994-07-04 05:00:00,PRT,1,3,0,27,66.0,False,True,1,0,0.2592592592592592,0.2307692307692307,0.75,17:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,1,True
465,2012/2013,1995-04-11 05:00:00,PRT,1,6,0,26,66.0,True,True,1,0,0.0,0.6153846153846154,0.75,17:00:00,20:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
466,2012/2013,1994-10-29 06:00:00,PRT,1,7,0,26,65.0,False,True,1,0,0.0,0.3846153846153846,0.75,17:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,1,True
467,2012/2013,1993-10-10 05:00:00,PRT,1,7,0,27,72.0,False,True,1,0,0.1111111111111111,0.3076923076923077,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
468,2012/2013,1994-06-15 05:00:00,PRT,1,7,0,27,73.0,False,True,1,0,0.0,0.3846153846153846,0.75,17:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,1,True
469,2012/2013,1994-05-26 05:00:00,PRT,2,6,0,27,66.0,False,True,1,0,0.0,0.0,0.75,17:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
470,2012/2013,1994-10-12 05:00:00,PRT,2,5,0,26,59.0,False,True,1,0,0.7037037037037037,0.5384615384615384,0.75,15:00:00,22:00:00,ADNA,0.0,NRC,0.0,AP,10.0,1,1,False
471,2012/2013,1993-11-04 06:00:00,PRT,3,7,0,27,66.0,False,False,1,0,0.2222222222222222,0.3846153846153846,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,AP,12.0,1,1,False
472,2012/2013,1994-10-12 05:00:00,PRT,3,6,0,26,59.0,False,True,1,0,0.7037037037037037,0.5384615384615384,0.75,15:00:00,22:00:00,ADNA,0.0,AP,13.0,F,0.0,1,1,False
473,2012/2013,1994-04-18 05:00:00,PRT,1,8,0,27,65.0,False,True,1,0,0.1481481481481481,0.5384615384615384,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,AP,11.0,1,1,False
474,2012/2013,1994-06-20 05:00:00,PRT,1,6,0,27,66.0,False,True,1,0,0.0,0.2307692307692307,0.75,15:00:00,17:00:00,ADNA,0.0,F,0.0,D,0.0,0,1,True
475,2012/2013,1994-12-13 06:00:00,PRT,2,6,0,26,63.0,False,True,1,0,0.0,0.2307692307692307,0.75,17:00:00,22:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
476,2012/2013,1994-11-05 06:00:00,PRT,4,8,0,26,78.0,False,True,1,0,0.037037037037037,0.3846153846153846,0.5,17:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,1,True
477,2012/2013,1994-03-16 06:00:00,PRT,2,5,0,27,59.0,False,True,1,0,0.1851851851851851,0.5384615384615384,0.75,17:00:00,15:00:00,ADNA,0.0,AP,11.0,AP,13.0,1,1,False
478,2012/2013,1994-11-04 06:00:00,PRT,2,7,0,26,72.0,False,True,1,0,0.1851851851851851,0.3846153846153846,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
479,2012/2013,1994-02-09 06:00:00,PRT,3,7,0,27,62.0,False,True,1,0,0.1481481481481481,0.5384615384615384,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
480,2012/2013,1995-01-23 06:00:00,PRT,1,7,0,26,73.0,False,True,1,0,0.0,0.3076923076923077,0.75,17:00:00,15:00:00,ADNA,0.0,NRC,0.0,R,7.0,0,1,True
481,2012/2013,1994-06-03 05:00:00,PRT,2,5,0,27,75.0,False,True,1,0,0.5555555555555556,0.6923076923076923,0.25,17:00:00,22:00:00,ADNA,0.0,NRC,0.0,R,7.0,0,1,True
482,2012/2013,1994-01-05 06:00:00,PRT,2,9,0,27,59.0,False,True,1,0,0.8888888888888888,0.7692307692307693,0.75,17:00:00,15:00:00,ADNA,0.0,AP,13.0,F,0.0,1,1,False
483,2012/2013,1994-06-24 05:00:00,PRT,1,9,0,27,73.0,False,False,1,0,0.0,0.4615384615384615,0.75,15:00:00,20:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
484,2012/2013,1994-11-06 06:00:00,PRT,1,7,0,26,59.0,False,False,1,0,0.2962962962962963,0.6153846153846154,0.75,15:00:00,17:00:00,ADNA,0.0,NRC,0.0,AP,11.0,1,1,False
485,2012/2013,1993-04-20 05:00:00,PRT,1,6,0,28,72.0,True,True,1,0,0.5925925925925926,0.3846153846153846,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,R,5.0,0,1,True
486,2012/2013,1994-09-12 05:00:00,PRT,3,5,0,26,73.0,False,True,1,0,0.0,0.0,0.0,17:00:00,15:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
487,2012/2013,1994-09-16 05:00:00,PRT,2,7,0,26,66.0,False,True,2,0,0.074074074074074,0.0,0.5,15:00:00,17:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
488,2012/2013,1994-03-02 06:00:00,PRT,1,9,0,27,66.0,True,True,1,0,0.1481481481481481,0.2307692307692307,0.75,17:00:00,17:00:00,ADNA,0.0,NRC,0.0,R,8.0,0,1,True
489,2012/2013,1994-07-15 05:00:00,PRT,2,8,0,26,73.0,True,True,1,0,0.074074074074074,0.3076923076923077,0.25,15:00:00,17:00:00,ADNA,0.0,F,0.0,D,0.0,0,1,True
490,2012/2013,1994-05-23 05:00:00,PRT,1,3,0,27,73.0,False,False,1,0,0.0,0.0,0.0,15:00:00,00:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
491,2012/2013,1993-12-25 06:00:00,PRT,1,7,0,27,73.0,False,True,1,0,0.3333333333333333,0.5384615384615384,0.75,17:00:00,22:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
492,2012/2013,1994-04-08 05:00:00,PRT,2,4,0,27,72.0,False,False,1,0,0.037037037037037,0.3076923076923077,0.25,17:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,1,True
493,2012/2013,1993-11-18 06:00:00,PRT,1,3,0,27,69.0,False,False,1,0,0.0,0.0769230769230769,0.0,15:00:00,20:00:00,ADNF,0.0,F,0.0,F,0.0,0,1,True
494,2012/2013,1993-04-04 05:00:00,PRT,1,6,0,28,65.0,False,True,1,0,0.0,0.3846153846153846,0.75,17:00:00,15:00:00,ADNA,0.0,NRC,0.0,F,0.0,0,1,True
495,2012/2013,1993-05-24 05:00:00,PRT,1,6,0,28,72.0,True,True,1,0,0.7037037037037037,0.5384615384615384,0.75,17:00:00,15:00:00,ADNA,0.0,NRC,0.0,AP,10.0,1,1,False
496,2012/2013,1991-04-20 05:00:00,PRT,2,3,0,30,59.0,False,True,2,0,0.037037037037037,0.0,0.75,17:00:00,00:00:00,ADNF,0.0,NRC,0.0,F,0.0,0,1,True
497,2013/2014,1990-09-21 05:00:00,ESP,1,0,0,30,70.0,False,False,1,0,0.4444444444444444,0.7692307692307693,0.75,17:00:00,20:00:00,ADNA,0.0,AP,16.0,F,0.0,1,0,False
498,2007/2008,1989-02-06 06:00:00,PRT,4,10,0,32,84.0,True,False,4,3,0.0714285714285714,0.1428571428571428,0.5,15:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,7,True
499,2007/2008,1989-12-08 06:00:00,PRT,3,9,0,31,74.0,False,False,3,1,0.0,0.0,0.5,15:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,7,True
500,2007/2008,1989-08-05 05:00:00,PRT,1,14,1,31,70.0,False,False,1,2,0.4285714285714285,0.3571428571428571,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,7,True
501,2007/2008,1989-08-24 05:00:00,PRT,2,7,0,31,79.0,True,False,2,1,0.0714285714285714,0.1428571428571428,0.75,15:00:00,22:00:00,ADNA,0.0,F,0.0,R,3.0,0,7,True
502,2007/2008,1987-09-26 05:00:00,PRT,3,7,0,33,80.0,False,True,3,1,0.0,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,7,True
503,2007/2008,1988-01-27 06:00:00,PRT,4,10,0,33,84.0,False,False,4,2,0.1785714285714285,0.2857142857142857,0.5,15:00:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,7,False
504,1998/1999,1980-02-04 06:00:00,PRT,4,13,0,41,84.0,False,True,4,3,0.0,0.0,0.0,15:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,16,True
505,2006/2007,1987-06-08 05:00:00,PRT,3,11,1,34,78.0,False,False,3,3,0.0,0.0,1.0,15:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,8,True
506,2006/2007,1981-08-20 05:00:00,PRT,5,13,1,39,89.0,False,False,4,3,0.2142857142857142,0.4285714285714285,1.0,22:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,8,True
507,1996/1997,1973-09-28 05:00:00,PRT,3,2,0,47,49.0,False,False,3,1,0.0,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,18,True
508,1991/1992,1973-03-10 06:00:00,PRT,3,2,0,48,78.0,False,False,3,0,0.0,0.0,0.0,20:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,23,True
509,2002/2003,1984-09-10 05:00:00,PRT,3,11,0,36,78.0,False,False,3,3,0.5,0.2857142857142857,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,AP,10.0,1,12,False
510,2008/2009,1989-06-17 05:00:00,PRT,3,8,1,32,67.0,False,False,3,1,0.0,0.0,1.0,20:00:00,00:00:00,AP,12.0,F,0.0,F,0.0,1,6,False
511,2008/2009,1990-06-01 05:00:00,PRT,3,9,0,31,24.0,False,False,2,2,0.3571428571428571,0.1428571428571428,0.75,22:00:00,17:00:00,AP,11.0,F,0.0,F,0.0,1,6,False
512,2008/2009,1989-10-30 06:00:00,PRT,4,8,0,31,78.0,False,True,3,2,0.0,0.0714285714285714,0.75,22:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,6,True
513,2008/2009,1989-02-09 06:00:00,PRT,7,11,0,32,74.0,False,False,4,2,0.0,0.0,0.0,15:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,6,True
514,2008/2009,1988-09-27 05:00:00,PRT,1,10,0,32,84.0,False,False,1,3,0.2857142857142857,0.3571428571428571,0.5,20:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,6,True
515,2008/2009,1990-05-29 05:00:00,PRT,1,8,0,31,84.0,False,False,1,3,0.1071428571428571,0.2857142857142857,0.0,20:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,1,6,True
516,2008/2009,1990-11-15 06:00:00,PRT,5,7,0,30,90.0,False,True,4,3,0.0,0.0,0.75,22:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,6,True
517,2008/2009,1990-06-30 05:00:00,PRT,3,12,0,31,66.0,False,True,2,2,0.1428571428571428,0.0714285714285714,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,6,True
518,2008/2009,1989-05-22 05:00:00,PRT,3,10,0,32,73.0,False,False,1,2,0.0,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,5.0,0,6,True
519,2008/2009,1986-11-04 06:00:00,STP,1,10,0,34,84.0,False,False,1,2,0.75,0.5714285714285714,0.75,20:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,6,True
520,2008/2009,1988-08-07 05:00:00,PRT,3,12,0,32,54.0,False,True,2,0,0.6428571428571429,0.7142857142857143,1.0,15:00:00,00:00:00,AP,10.0,F,0.0,AP,13.0,1,6,False
521,2009/2010,1991-01-26 06:00:00,PRT,4,9,0,30,60.0,False,False,3,2,0.1785714285714285,0.0,0.0,15:00:00,22:00:00,ADNA,0.0,F,0.0,R,7.0,0,5,True
522,2009/2010,1991-04-06 05:00:00,PRT,4,7,0,30,89.0,False,False,4,3,0.25,0.2857142857142857,1.0,20:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,5,True
523,2009/2010,1991-03-25 06:00:00,PRT,2,11,1,30,74.0,False,False,1,2,0.1071428571428571,0.0714285714285714,0.5,22:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,5,True
524,2009/2010,1991-09-17 05:00:00,PRT,1,7,0,29,55.0,False,False,1,2,0.1071428571428571,0.1428571428571428,0.0,20:00:00,22:00:00,ADNA,0.0,F,0.0,R,8.0,0,5,True
525,2009/2010,1991-07-15 05:00:00,PRT,3,11,0,29,60.0,False,True,3,2,0.2142857142857142,0.3571428571428571,0.0,20:00:00,22:00:00,ADNA,0.0,F,0.0,R,4.0,0,5,True
526,2009/2010,1991-05-02 05:00:00,PRT,3,11,0,30,63.0,False,True,3,2,0.3571428571428571,0.2857142857142857,0.75,20:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,5,True
527,2009/2010,1991-06-22 05:00:00,PRT,2,7,0,30,27.0,False,False,2,0,0.8571428571428571,0.6428571428571429,0.75,15:00:00,22:00:00,ADNA,0.0,F,0.0,R,7.0,0,5,True
528,2009/2010,1991-01-05 06:00:00,PRT,2,9,0,30,84.0,False,False,2,2,0.0,0.0714285714285714,0.0,22:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,5,True
529,2009/2010,1991-08-13 05:00:00,PRT,4,8,0,29,36.0,False,False,3,3,0.25,0.0714285714285714,0.0,15:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,5,False
530,2009/2010,1991-02-17 06:00:00,PRT,1,7,0,30,66.0,False,False,1,3,0.2857142857142857,0.0,0.75,20:00:00,22:00:00,ADNA,0.0,F,0.0,AP,11.0,1,5,False
531,2009/2010,1991-01-05 06:00:00,PRT,1,12,1,30,74.0,False,False,1,1,0.0,0.0,0.0,20:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,5,True
532,2009/2010,1991-02-08 06:00:00,PRT,3,8,0,30,49.0,False,False,3,1,0.0714285714285714,0.0,0.0,15:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,5,True
533,2010/2011,1979-03-23 05:00:00,PRT,1,7,0,42,78.0,False,False,1,1,0.1428571428571428,0.1428571428571428,0.5,15:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
534,2010/2011,1989-11-30 06:00:00,PRT,1,8,0,31,79.0,False,True,1,3,0.0,0.1428571428571428,0.75,20:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
535,2010/2011,1992-08-25 05:00:00,PRT,1,7,0,28,84.0,False,False,1,1,0.0357142857142857,0.0,0.0,20:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
536,2010/2011,1992-02-23 06:00:00,PRT,3,9,0,29,61.0,False,True,3,1,0.2142857142857142,0.5714285714285714,0.75,15:00:00,20:00:00,ADNA,0.0,F,0.0,AP,12.0,1,4,False
537,2010/2011,1992-12-05 06:00:00,PRT,3,5,0,28,60.0,False,False,3,0,0.0,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,7.0,0,4,True
538,2010/2011,1992-08-03 05:00:00,PRT,1,8,0,28,68.0,False,False,1,1,0.3214285714285714,0.7857142857142857,0.75,15:00:00,22:00:00,AP,12.0,F,0.0,F,0.0,1,4,False
539,2010/2011,1992-05-26 05:00:00,PRT,3,7,0,29,78.0,False,False,1,2,0.5357142857142857,0.3571428571428571,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
540,2010/2011,1992-08-16 05:00:00,PRT,5,7,0,28,69.0,False,False,3,0,0.0,0.0,0.0,20:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
541,2010/2011,1991-10-05 05:00:00,PRT,5,7,0,29,43.0,False,True,2,1,0.0,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,6.0,0,4,True
542,2010/2011,1991-11-23 06:00:00,PRT,3,10,0,29,58.0,True,True,3,2,0.0,0.0,0.25,15:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
543,2010/2011,1992-01-22 06:00:00,PRT,3,9,0,29,30.0,False,True,2,3,0.2857142857142857,0.0,0.0,15:00:00,22:00:00,ADNA,0.0,F,0.0,R,5.0,0,4,True
544,2010/2011,1990-04-24 05:00:00,PRT,3,9,0,31,56.0,False,True,3,0,0.0,0.4285714285714285,0.75,20:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
545,2010/2011,1991-06-12 05:00:00,PRT,3,4,0,30,57.0,False,True,3,2,0.0,0.0,0.0,20:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
546,2010/2011,1992-05-24 05:00:00,PRT,5,10,0,29,80.0,False,True,2,2,0.2142857142857142,0.2857142857142857,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
547,2010/2011,1992-04-17 05:00:00,PRT,3,11,0,29,36.0,False,True,2,3,0.0714285714285714,0.0714285714285714,0.25,22:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
548,2010/2011,1992-10-20 05:00:00,PRT,3,6,0,28,37.0,False,True,2,2,0.0,0.0,0.25,15:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
549,2010/2011,1989-02-28 06:00:00,PRT,1,9,0,32,84.0,True,False,1,2,0.0357142857142857,0.0,0.75,22:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,4,False
550,2010/2011,1991-09-10 05:00:00,PRT,1,10,0,29,79.0,False,False,1,2,0.0357142857142857,0.2142857142857142,0.75,22:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,4,False
551,2010/2011,1991-05-02 05:00:00,PRT,3,4,0,30,60.0,False,True,3,1,0.0357142857142857,0.0,0.0,15:00:00,00:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
552,2010/2011,1993-10-25 06:00:00,PRT,4,9,0,27,91.0,False,True,3,0,0.1071428571428571,0.2142857142857142,0.75,20:00:00,17:00:00,ADNA,0.0,F,0.0,F,0.0,0,4,True
553,2011/2012,1989-04-30 05:00:00,PRT,1,7,0,32,72.0,False,True,1,2,0.1071428571428571,0.3571428571428571,0.0,15:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
554,2011/2012,1993-11-05 06:00:00,PRT,3,9,0,27,84.0,False,True,1,1,0.0,0.2142857142857142,0.75,22:00:00,20:00:00,ADNA,0.0,F,0.0,R,3.0,0,3,True
555,2011/2012,1993-09-20 05:00:00,PRT,1,6,0,27,84.0,False,True,1,2,0.0357142857142857,0.0714285714285714,0.75,15:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
556,2011/2012,1993-01-11 06:00:00,PRT,3,8,0,28,79.0,False,True,1,2,0.0,0.4285714285714285,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,7.0,0,3,True
557,2011/2012,1993-02-27 06:00:00,PRT,3,7,0,28,66.0,False,True,1,2,0.0,0.0714285714285714,0.0,15:00:00,22:00:00,AP,10.0,F,0.0,AP,10.0,1,3,False
558,2011/2012,1993-04-27 05:00:00,PRT,1,7,0,28,78.0,False,False,1,1,0.0,0.3571428571428571,0.0,20:00:00,22:00:00,ADNA,0.0,F,0.0,R,6.0,0,3,True
559,2011/2012,1993-03-29 05:00:00,PRT,1,7,0,28,78.0,True,True,1,2,0.1785714285714285,0.2857142857142857,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,7.0,0,3,True
560,2011/2012,1993-10-06 05:00:00,PRT,3,10,0,27,79.0,False,False,1,2,0.0714285714285714,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
561,2011/2012,1993-07-15 05:00:00,PRT,8,7,0,27,90.0,False,False,6,1,0.3571428571428571,0.7142857142857143,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,8.0,0,3,True
562,2011/2012,1993-08-01 05:00:00,PRT,2,9,0,27,48.0,False,False,2,2,0.0714285714285714,0.3571428571428571,0.75,20:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
563,2011/2012,1992-04-21 05:00:00,PRT,10,7,0,29,69.0,True,True,4,1,0.8571428571428571,0.7857142857142857,0.75,22:00:00,00:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
564,2011/2012,1993-04-24 05:00:00,PRT,1,7,0,28,79.0,False,False,1,2,0.0357142857142857,0.0,0.0,15:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
565,2011/2012,1993-04-24 05:00:00,PRT,3,9,0,28,76.0,False,True,1,0,0.0,0.0,0.75,20:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
566,2011/2012,1993-01-27 06:00:00,PRT,1,5,0,28,60.0,True,True,1,2,0.6071428571428571,0.5714285714285714,0.75,20:00:00,17:00:00,ADNA,0.0,F,0.0,AP,10.0,1,3,False
567,2011/2012,1992-11-06 06:00:00,PRT,2,8,0,28,72.0,False,True,1,2,0.1071428571428571,0.2857142857142857,0.75,20:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
568,2011/2012,1993-08-21 05:00:00,PRT,5,10,0,27,63.0,False,False,2,0,0.1785714285714285,0.2142857142857142,0.75,15:00:00,00:00:00,ADNA,0.0,F,0.0,R,5.0,0,3,True
569,2011/2012,1993-01-18 06:00:00,PRT,1,7,0,28,72.0,False,True,1,2,0.0714285714285714,0.0,0.0,20:00:00,22:00:00,ADNA,0.0,F,0.0,R,8.0,0,3,True
570,2011/2012,1993-07-12 05:00:00,PRT,1,7,0,27,60.0,False,False,1,2,0.0,0.0714285714285714,0.75,20:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
571,2011/2012,1993-06-24 05:00:00,PRT,4,9,0,28,77.0,False,True,2,2,0.1428571428571428,0.3571428571428571,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
572,2011/2012,1993-11-09 06:00:00,PRT,1,6,0,27,78.0,False,True,1,2,0.2142857142857142,0.3571428571428571,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
573,2011/2012,1993-05-14 05:00:00,PRT,1,7,0,28,84.0,False,True,1,2,0.1071428571428571,0.3571428571428571,0.75,15:00:00,15:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
574,2011/2012,1993-01-10 06:00:00,PRT,3,10,0,28,75.0,False,False,1,1,0.6071428571428571,0.6428571428571429,0.75,20:00:00,20:00:00,ADNA,0.0,F,0.0,R,6.0,0,3,True
575,2011/2012,1992-10-27 06:00:00,PRT,3,10,0,28,76.0,False,True,1,0,0.1428571428571428,0.0,0.75,15:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
576,2011/2012,1992-06-24 05:00:00,PRT,1,7,0,29,78.0,False,True,1,2,0.0,0.6428571428571429,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
577,2011/2012,1993-01-25 06:00:00,PRT,1,7,0,28,78.0,False,True,1,2,0.4642857142857143,0.2857142857142857,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,6.0,0,3,True
578,2011/2012,1993-11-08 06:00:00,PRT,1,4,0,27,80.0,False,True,1,2,0.0,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
579,2011/2012,1993-12-03 06:00:00,PRT,1,8,0,27,66.0,True,True,1,2,0.0,0.0714285714285714,0.75,22:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
580,2011/2012,1992-06-23 05:00:00,PRT,1,8,0,29,73.0,True,True,1,2,0.0714285714285714,0.2857142857142857,0.75,22:00:00,22:00:00,ADNA,0.0,F,0.0,R,4.0,0,3,True
581,2011/2012,1994-07-07 05:00:00,PRT,1,6,0,27,72.0,False,True,1,2,0.1785714285714285,0.0,0.0,22:00:00,22:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
582,2011/2012,1993-12-04 06:00:00,PRT,3,10,0,27,84.0,False,True,1,1,0.0357142857142857,0.2142857142857142,0.75,20:00:00,20:00:00,ADNA,0.0,F,0.0,F,0.0,0,3,True
